name,id,type,enabled,homepage
Librefox Reload/Refresh Button Url Bar,librefox.reload.button@intika.be,extension,true,https://github.com/intika/Librefox-Firefox
CodeCopy,codecopy@clipboardjs.com,extension,true,https://github.com/zenorocha/codecopy
Disable WebRTC,jid1-5Fs7iTLscUaZBgwr@jetpack,extension,true,
Dictionnaire français,fr-dicollecte@dictionaries.addons.mozilla.org,dictionary,true,https://grammalecte.net
Arc Darker Theme,arc-darker-theme@afnankhan,theme,false,
JavaScript Toggle On and Off,{479f0278-2c34-4365-b9f0-1d328d0f0a40},extension,true,https://add0n.com/javascript-toggler.html
Always Right,jid0-SzimoL45Ib8OddgoUBG0buQmjec@jetpack,extension,true,
Grammalecte [fr],French-GC@grammalecte.net,extension,true,https://grammalecte.net/
OneTab,extension@one-tab.com,extension,true,
Violentmonkey,{aecec67f-0d10-4fa7-b7c7-609a2db280cf},extension,true,https://violentmonkey.github.io/
Arc Dark Theme,arc-dark-theme@afnankhan,theme,true,
HTTPS Everywhere,https-everywhere@eff.org,extension,true,https://www.eff.org/https-everywhere
Stylus,{7a7a4a92-a2a0-41d1-9fd7-1e92480d612d},extension,true,https://add0n.com/stylus.html
Gitako - GitHub file tree,{983bd86b-9d6f-4394-92b8-63d844c4ce4c},extension,false,https://github.com/EnixCoda/Gitako
English United States Dictionary,@unitedstatesenglishdictionary,dictionary,true,
OctoLinker,octolinker@stefanbuck.com,extension,false,https://octolinker.now.sh/
Firefox Multi-Account Containers,@testpilot-containers,extension,true,https://github.com/mozilla/multi-account-containers#readme
Refined GitHub,{a4c4eda4-fb84-4a84-b4a1-f7c1cbf2a1ad},extension,true,https://github.com/refined-github/refined-github
Bitwarden - Free Password Manager,{446900e4-71c2-419f-a6a7-df9c091e268b},extension,true,https://bitwarden.com
British English Dictionary (Marco Pinto),marcoagpinto@mail.telepac.pt,dictionary,true,
Flagfox,{1018e4d6-728f-4b20-ad56-37578a4de76b},extension,true,https://flagfox.wordpress.com/
Open Graph Preview,{6e262423-d612-4f29-be6e-e83aa641645d},extension,false,
uBlock Origin,uBlock0@raymondhill.net,extension,true,
Return YouTube Dislike,{762f9885-5a13-4abd-9c77-433dcd38b8fd},extension,true,
Google Container,@contain-google,extension,true,https://github.com/containers-everywhere/contain-google
FrankerFaceZ,frankerfacez@frankerfacez.com,extension,true,https://www.frankerfacez.com
Facebook Container,@contain-facebook,extension,true,https://github.com/mozilla/contain-facebook
ClearURLs,{74145f27-f039-47ce-a470-a662b129930a},extension,true,https://gitlab.com/KevinRoebert/ClearUrls
